Unnamed: 0,cik,entityName,companyFact,end,val,accn,fy,fp,form,filed,units
440948,5272,"American International Group, Inc.",AssetImpairmentCharges,2020-12-31,98000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440951,5272,"American International Group, Inc.",AssetImpairmentCharges,2021-12-31,46000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
440956,5272,"American International Group, Inc.",AssetImpairmentCharges,2022-12-31,26000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
441063,5272,"American International Group, Inc.",Assets,2021-12-31,596112000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
441067,5272,"American International Group, Inc.",Assets,2022-12-31,526634000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
441153,5272,"American International Group, Inc.",AssetsHeldByInsuranceRegulators,2021-12-31,13500000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
441157,5272,"American International Group, Inc.",AssetsHeldByInsuranceRegulators,2022-12-31,13600000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442525,5272,"American International Group, Inc.",BenefitsLossesAndExpenses,2020-12-31,51029000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442537,5272,"American International Group, Inc.",BenefitsLossesAndExpenses,2021-12-31,39958000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442546,5272,"American International Group, Inc.",BenefitsLossesAndExpenses,2022-12-31,42155000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442723,5272,"American International Group, Inc.",Cash,2020-12-31,2827000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442734,5272,"American International Group, Inc.",Cash,2021-12-31,2198000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442740,5272,"American International Group, Inc.",Cash,2022-12-31,2043000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442807,5272,"American International Group, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2020-12-31,3230000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442817,5272,"American International Group, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2021-12-31,2427000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
442823,5272,"American International Group, Inc.",CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022-12-31,2216000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
443112,5272,"American International Group, Inc.",CollateralAlreadyPostedAggregateFairValue,2021-12-31,2700000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
443116,5272,"American International Group, Inc.",CollateralAlreadyPostedAggregateFairValue,2022-12-31,2900000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
443271,5272,"American International Group, Inc.",CommonStockDividendsPerShareCashPaid,2020-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
443287,5272,"American International Group, Inc.",CommonStockDividendsPerShareCashPaid,2021-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
443297,5272,"American International Group, Inc.",CommonStockDividendsPerShareCashPaid,2022-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
443462,5272,"American International Group, Inc.",CommonStockParOrStatedValuePerShare,2021-12-31,2,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
443466,5272,"American International Group, Inc.",CommonStockParOrStatedValuePerShare,2022-12-31,2,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
443568,5272,"American International Group, Inc.",CommonStockSharesAuthorized,2021-12-31,5000000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443572,5272,"American International Group, Inc.",CommonStockSharesAuthorized,2022-12-31,5000000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443674,5272,"American International Group, Inc.",CommonStockSharesIssued,2021-12-31,1906671492,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443678,5272,"American International Group, Inc.",CommonStockSharesIssued,2022-12-31,1906671492,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443735,5272,"American International Group, Inc.",CommonStockSharesOutstanding,2019-12-31,870000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443744,5272,"American International Group, Inc.",CommonStockSharesOutstanding,2020-12-31,861600000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443752,5272,"American International Group, Inc.",CommonStockSharesOutstanding,2021-12-31,818700000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443756,5272,"American International Group, Inc.",CommonStockSharesOutstanding,2022-12-31,734100000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,shares
443862,5272,"American International Group, Inc.",CommonStockValue,2021-12-31,4766000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
443866,5272,"American International Group, Inc.",CommonStockValue,2022-12-31,4766000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444024,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTax,2020-12-31,2585000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444036,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTax,2021-12-31,3663000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444045,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTax,2022-12-31,-20543000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444186,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2020-12-31,99000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444198,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2021-12-31,430000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444207,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,2022-12-31,-1584000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444364,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2020-12-31,2684000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444376,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2021-12-31,4093000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444385,5272,"American International Group, Inc.",ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,2022-12-31,-22127000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444432,5272,"American International Group, Inc.",CurrentFederalTaxExpenseBenefit,2020-12-31,-57000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444434,5272,"American International Group, Inc.",CurrentFederalTaxExpenseBenefit,2021-12-31,-216000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444435,5272,"American International Group, Inc.",CurrentFederalTaxExpenseBenefit,2022-12-31,246000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444468,5272,"American International Group, Inc.",CurrentForeignTaxExpenseBenefit,2020-12-31,274000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444470,5272,"American International Group, Inc.",CurrentForeignTaxExpenseBenefit,2021-12-31,171000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444471,5272,"American International Group, Inc.",CurrentForeignTaxExpenseBenefit,2022-12-31,271000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444733,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationAllowanceForCreditLossAtAcquisitionDate,2020-12-31,-26000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444740,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationAmountAtParValue,2020-12-31,644000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444747,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationAmountAtPurchasePrice,2020-12-31,469000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444754,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSalePurchasedWithCreditDeteriorationDiscountPremium,2020-12-31,-149000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444760,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSaleRealizedGainLoss,2020-12-31,1000000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444769,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSaleRealizedGainLoss,2021-12-31,928000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444778,5272,"American International Group, Inc.",DebtSecuritiesAvailableForSaleRealizedGainLoss,2022-12-31,-1200000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444835,5272,"American International Group, Inc.",DeferredFederalIncomeTaxExpenseBenefit,2020-12-31,-1676000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444837,5272,"American International Group, Inc.",DeferredFederalIncomeTaxExpenseBenefit,2021-12-31,2190000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444838,5272,"American International Group, Inc.",DeferredFederalIncomeTaxExpenseBenefit,2022-12-31,2348000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444884,5272,"American International Group, Inc.",DeferredForeignIncomeTaxExpenseBenefit,2020-12-31,-1000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444886,5272,"American International Group, Inc.",DeferredForeignIncomeTaxExpenseBenefit,2021-12-31,31000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444887,5272,"American International Group, Inc.",DeferredForeignIncomeTaxExpenseBenefit,2022-12-31,141000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444943,5272,"American International Group, Inc.",DeferredIncomeTaxAssetsNet,2021-12-31,11714000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
444947,5272,"American International Group, Inc.",DeferredIncomeTaxAssetsNet,2022-12-31,15144000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445126,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostAmortizationExpense,2020-12-31,-4188000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445133,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostAmortizationExpense,2021-12-31,-4562000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445136,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostAmortizationExpense,2022-12-31,-4954000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445242,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCosts,2019-12-31,10890000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445251,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCosts,2020-12-31,9679000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445256,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCosts,2021-12-31,10403000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445261,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCosts,2022-12-31,15425000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445283,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostsAdditions,2020-12-31,4292000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445285,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostsAdditions,2021-12-31,4666000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445288,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostsAdditions,2022-12-31,4643000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445308,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostUnrealizedInvestmentGainLoss,2020-12-31,1116000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445310,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostUnrealizedInvestmentGainLoss,2021-12-31,-773000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445311,5272,"American International Group, Inc.",DeferredPolicyAcquisitionCostUnrealizedInvestmentGainLoss,2022-12-31,-5631000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445317,5272,"American International Group, Inc.",DeferredTaxAssetsCapitalLossCarryforwards,2022-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445340,5272,"American International Group, Inc.",DeferredTaxAssetsGross,2021-12-31,18326000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445341,5272,"American International Group, Inc.",DeferredTaxAssetsGross,2022-12-31,21870000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445383,5272,"American International Group, Inc.",DeferredTaxAssetsLiabilitiesNet,2021-12-31,11479000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445384,5272,"American International Group, Inc.",DeferredTaxAssetsLiabilitiesNet,2022-12-31,14849000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445396,5272,"American International Group, Inc.",DeferredTaxAssetsOperatingLossCarryforwards,2022-12-31,5209000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445411,5272,"American International Group, Inc.",DeferredTaxAssetsOther,2021-12-31,247000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445412,5272,"American International Group, Inc.",DeferredTaxAssetsOther,2022-12-31,498000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445423,5272,"American International Group, Inc.",DeferredTaxAssetsTaxCreditCarryforwards,2022-12-31,22000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445449,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,2021-12-31,407000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445450,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,2022-12-31,382000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445473,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,2021-12-31,455000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445474,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsLossReserves,2022-12-31,352000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445497,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsUnearnedPremiumsReserve,2021-12-31,283000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445498,5272,"American International Group, Inc.",DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsUnearnedPremiumsReserve,2022-12-31,294000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445521,5272,"American International Group, Inc.",DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,2021-12-31,2944000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445522,5272,"American International Group, Inc.",DeferredTaxAssetsUnrealizedLossesOnTradingSecurities,2022-12-31,2652000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445548,5272,"American International Group, Inc.",DeferredTaxAssetsValuationAllowance,2021-12-31,1987000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445550,5272,"American International Group, Inc.",DeferredTaxAssetsValuationAllowance,2022-12-31,4250000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445574,5272,"American International Group, Inc.",DeferredTaxLiabilities,2021-12-31,4860000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445575,5272,"American International Group, Inc.",DeferredTaxLiabilities,2022-12-31,2771000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445598,5272,"American International Group, Inc.",DeferredTaxLiabilitiesDeferredExpenseDeferredPolicyAcquisitionCost,2021-12-31,2054000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445599,5272,"American International Group, Inc.",DeferredTaxLiabilitiesDeferredExpenseDeferredPolicyAcquisitionCost,2022-12-31,1868000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445612,5272,"American International Group, Inc.",DeferredTaxLiabilitiesOther,2021-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445613,5272,"American International Group, Inc.",DeferredTaxLiabilitiesOther,2022-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445679,5272,"American International Group, Inc.",DefinedContributionPlanEmployerMatchingContributionPercent,2022-12-31,1,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,pure
445800,5272,"American International Group, Inc.",DepreciationAmortizationAndAccretionNet,2020-12-31,4120000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445808,5272,"American International Group, Inc.",DepreciationAmortizationAndAccretionNet,2021-12-31,4633000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445814,5272,"American International Group, Inc.",DepreciationAmortizationAndAccretionNet,2022-12-31,4848000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445886,5272,"American International Group, Inc.",DerivativeAssetCollateralObligationToReturnCashOffset,2021-12-31,2139000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445890,5272,"American International Group, Inc.",DerivativeAssetCollateralObligationToReturnCashOffset,2022-12-31,1640000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445964,5272,"American International Group, Inc.",DerivativeAssetFairValueGrossLiability,2021-12-31,2779000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
445968,5272,"American International Group, Inc.",DerivativeAssetFairValueGrossLiability,2022-12-31,3895000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446060,5272,"American International Group, Inc.",DerivativeAssetNotionalAmount,2021-12-31,136508000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446064,5272,"American International Group, Inc.",DerivativeAssetNotionalAmount,2022-12-31,133721000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446170,5272,"American International Group, Inc.",DerivativeAssets,2021-12-31,843000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446174,5272,"American International Group, Inc.",DerivativeAssets,2022-12-31,514000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446266,5272,"American International Group, Inc.",DerivativeFairValueOfDerivativeAsset,2021-12-31,5761000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446270,5272,"American International Group, Inc.",DerivativeFairValueOfDerivativeAsset,2022-12-31,6049000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446362,5272,"American International Group, Inc.",DerivativeFairValueOfDerivativeLiability,2021-12-31,4454000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446366,5272,"American International Group, Inc.",DerivativeFairValueOfDerivativeLiability,2022-12-31,6043000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446472,5272,"American International Group, Inc.",DerivativeLiabilities,2021-12-31,586000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446476,5272,"American International Group, Inc.",DerivativeLiabilities,2022-12-31,231000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446550,5272,"American International Group, Inc.",DerivativeLiabilityCollateralRightToReclaimCashOffset,2021-12-31,1089000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446554,5272,"American International Group, Inc.",DerivativeLiabilityCollateralRightToReclaimCashOffset,2022-12-31,1917000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446628,5272,"American International Group, Inc.",DerivativeLiabilityFairValueGrossAsset,2021-12-31,2779000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446632,5272,"American International Group, Inc.",DerivativeLiabilityFairValueGrossAsset,2022-12-31,3895000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446724,5272,"American International Group, Inc.",DerivativeLiabilityNotionalAmount,2021-12-31,65130000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446728,5272,"American International Group, Inc.",DerivativeLiabilityNotionalAmount,2022-12-31,56805000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446773,5272,"American International Group, Inc.",DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,2020-12-31,5000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446775,5272,"American International Group, Inc.",DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,2021-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446776,5272,"American International Group, Inc.",DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,2022-12-31,-1000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446805,5272,"American International Group, Inc.",DiscontinuedOperationTaxEffectOfDiscontinuedOperation,2020-12-31,1000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446807,5272,"American International Group, Inc.",DiscontinuedOperationTaxEffectOfDiscontinuedOperation,2021-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
446808,5272,"American International Group, Inc.",DiscontinuedOperationTaxEffectOfDiscontinuedOperation,2022-12-31,0,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447008,5272,"American International Group, Inc.",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,2020-12-31,-8525000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447020,5272,"American International Group, Inc.",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,2021-12-31,3044000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447029,5272,"American International Group, Inc.",DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,2022-12-31,-82000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447113,5272,"American International Group, Inc.",DividendsCommonStock,2020-12-31,1103000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447125,5272,"American International Group, Inc.",DividendsCommonStock,2021-12-31,1083000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447134,5272,"American International Group, Inc.",DividendsCommonStock,2022-12-31,982000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447162,5272,"American International Group, Inc.",DividendsPreferredStock,2020-12-31,29000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447174,5272,"American International Group, Inc.",DividendsPreferredStock,2021-12-31,29000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447183,5272,"American International Group, Inc.",DividendsPreferredStock,2022-12-31,29000000,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD
447313,5272,"American International Group, Inc.",EarningsPerShareBasic,2020-12-31,-7,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
447325,5272,"American International Group, Inc.",EarningsPerShareBasic,2021-12-31,11,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
447334,5272,"American International Group, Inc.",EarningsPerShareBasic,2022-12-31,13,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
447449,5272,"American International Group, Inc.",EarningsPerShareDiluted,2020-12-31,-7,0000005272-23-000007,2022.0,FY,10-K,2023-02-17,USD/shares
